stn_name,stncode,year,month,dday,maxtmp,mintmp,rain,sunshine,avgrh,evapor,meantemp
ROI ET,405201,1986,01,01,27.3,19.2,0,8.8,64,5,23.2
ROI ET,405201,1986,01,02,27.3,12.2,0,10.6,68,3.4,19.7
ROI ET,405201,1986,01,03,28.8,13.4,0,10.5,67,6,21.1
ROI ET,405201,1986,01,04,26.6,15.2,0,10.5,66,4.2,20.9
ROI ET,405201,1986,01,05,24.2,13.1,0,9.2,65,5.6,18.6
ROI ET,405201,1986,01,06,24.5,11.8,0,8.5,63,3.5,18.1
ROI ET,405201,1986,01,07,24.8,12.5,0,9.9,60,4.7,18.6
ROI ET,405201,1986,01,08,24.6,12.8,0,9.5,60,4.3,18.7
ROI ET,405201,1986,01,09,26.6,14,0,9.9,60,4.1,20.3
ROI ET,405201,1986,01,10,26.7,13.7,0,9.9,59,5,20.2
ROI ET,405201,1986,01,11,27,12.8,0,9.9,59,3.6,19.9
ROI ET,405201,1986,01,12,28.1,13.7,0,10.3,61,4.6,20.9
ROI ET,405201,1986,01,13,28.9,14.8,0,10.3,66,4.1,21.8
ROI ET,405201,1986,01,14,28.8,14.9,0,9,69,3.6,21.8
ROI ET,405201,1986,01,15,29.4,15.1,0,9.4,63,5.6,22.2
ROI ET,405201,1986,01,16,30.5,15.2,0,10.7,63,3.3,22.8
ROI ET,405201,1986,01,17,32.1,15.7,0,10.3,65,4.8,23.9
ROI ET,405201,1986,01,18,32.9,17.1,0,9.2,63,4.6,25
ROI ET,405201,1986,01,19,33.3,18.8,0,10.3,62,5,26
ROI ET,405201,1986,01,20,32.7,19.6,0,10,61,5.4,26.1
ROI ET,405201,1986,01,21,30.7,18.2,0,9.4,60,4.9,24.4
ROI ET,405201,1986,01,22,30.3,17.7,0,10.4,61,5.2,24
ROI ET,405201,1986,01,23,31,16.7,0,10.5,63,4.4,23.8
ROI ET,405201,1986,01,24,32,17.6,0,9.9,66,4.3,24.8
ROI ET,405201,1986,01,25,31.8,18.5,0,10.1,60,5.5,25.1
ROI ET,405201,1986,01,26,29.9,18.2,0,10.7,62,5.4,24
ROI ET,405201,1986,01,27,27.9,14.8,0,10.7,62,5.6,21.3
ROI ET,405201,1986,01,28,28.9,13.2,0,10.5,66,3,21
ROI ET,405201,1986,01,29,29.6,13.9,0,10.7,65,5.8,21.7
ROI ET,405201,1986,01,30,32.1,13.8,0,10.5,66,3.9,22.9
ROI ET,405201,1986,01,31,33,15.2,0,10.1,66,4.3,24.1
ROI ET,405201,1986,02,01,33.1,16.5,0,9.2,69,3.6,24.8
ROI ET,405201,1986,02,02,32.6,21,0,6.2,68,3,26.8
ROI ET,405201,1986,02,03,33,20.4,0,7,69,3.2,26.7
ROI ET,405201,1986,02,04,32.7,19.7,0,9.1,70,3.8,26.2
ROI ET,405201,1986,02,05,33.5,20.1,0,8.6,69,5,26.8
ROI ET,405201,1986,02,06,34.2,20.2,0,9.8,66,4.7,27.2
ROI ET,405201,1986,02,07,31.6,18.2,0,8,63,5.6,24.9
ROI ET,405201,1986,02,08,29.1,16,0,10,62,4.6,22.5
ROI ET,405201,1986,02,09,30.7,15.5,0,10,67,4.1,23.1
ROI ET,405201,1986,02,10,29.2,18.7,0,10.2,59,5.6,23.9
ROI ET,405201,1986,02,11,30,14.2,0,10.6,62,6.2,22.1
ROI ET,405201,1986,02,12,30.5,16.5,0,9.8,64,3.6,23.5
ROI ET,405201,1986,02,13,33.7,16.2,0,10.3,64,4.2,24.9
ROI ET,405201,1986,02,14,34.4,17.8,0,9.9,63,5.2,26.1
ROI ET,405201,1986,02,15,35.5,21.9,0,9.8,61,4.2,28.7
ROI ET,405201,1986,02,16,35.4,22.5,0,9.8,60,5,28.9
ROI ET,405201,1986,02,17,35.8,22.7,0,9.9,56,6.4,29.2
ROI ET,405201,1986,02,18,36.7,23.2,0,10.2,50,5.8,29.9
ROI ET,405201,1986,02,19,36.8,24,0,9.6,49,5.8,30.4
ROI ET,405201,1986,02,20,32,21.1,0,10.2,60,6,26.5
ROI ET,405201,1986,02,21,29.7,16.8,0,10.1,60,6.2,23.2
ROI ET,405201,1986,02,22,31.6,15.9,0,10.4,64,4.4,23.7
ROI ET,405201,1986,02,23,34.1,18.5,0,8.9,66,4.2,26.3
ROI ET,405201,1986,02,24,33.4,22,0,9.8,62,6.3,27.7
ROI ET,405201,1986,02,25,31.7,20,0,6.3,67,3.7,25.8
ROI ET,405201,1986,02,26,32.4,20,0,7.4,67,4.5,26.2
ROI ET,405201,1986,02,27,32.5,20.8,0,8.9,66,4.8,26.6
ROI ET,405201,1986,02,28,30.7,20.5,0,6.2,63,6.6,25.6
ROI ET,405201,1986,03,01,26,15.9,0,4.1,61,5.4,20.9
ROI ET,405201,1986,03,02,20.7,13.1,0,7.3,55,5.8,16.9
ROI ET,405201,1986,03,03,23.7,11.1,0,9,51,3.3,17.4
ROI ET,405201,1986,03,04,25.6,10.9,0,9.5,51,5,18.2
ROI ET,405201,1986,03,05,28.1,12.4,0,9.5,51,6.3,20.2
ROI ET,405201,1986,03,06,29.7,13.5,0,9.7,59,4.9,21.6
ROI ET,405201,1986,03,07,32.4,16.7,0,9.7,59,5.3,24.5
ROI ET,405201,1986,03,08,32.6,17.6,0,9.5,55,4.6,25.1
ROI ET,405201,1986,03,09,32.9,17.4,0,8.7,55,4.9,25.1
ROI ET,405201,1986,03,10,34.5,19.8,0,8.4,57,5.1,27.1
ROI ET,405201,1986,03,11,36,20.6,0,7.8,57,4,28.3
ROI ET,405201,1986,03,12,35.9,25.1,0,4.5,57,5.3,30.5
ROI ET,405201,1986,03,13,37.2,26.2,0,8.6,53,3.5,31.7
ROI ET,405201,1986,03,14,38.9,26.5,0,8.3,48,7.5,32.7
ROI ET,405201,1986,03,15,39.7,23.8,0,9.6,48,6.9,31.7
ROI ET,405201,1986,03,16,38.8,23.3,0,9.6,49,7,31
ROI ET,405201,1986,03,17,38.6,24,0,9.5,51,6.3,31.3
ROI ET,405201,1986,03,18,38.8,23.8,0,9,47,6.4,31.3
ROI ET,405201,1986,03,19,39.1,25.6,0,9,48,6.4,32.3
ROI ET,405201,1986,03,20,40,23,0,9.3,41,6.2,31.5
ROI ET,405201,1986,03,21,39.1,26.1,0,8.9,48,7.2,32.6
ROI ET,405201,1986,03,22,39,27.3,0,9.2,52,7,33.1
ROI ET,405201,1986,03,23,38.7,25.4,0,8.1,59,6.3,32
ROI ET,405201,1986,03,24,37.8,26.4,0,6.9,61,7.2,32.1
ROI ET,405201,1986,03,25,36.9,24,0,7,69,5,30.4
ROI ET,405201,1986,03,26,37.3,25.6,0,6.9,61,5.3,31.4
ROI ET,405201,1986,03,27,38.2,26.1,0,7.2,65,7.2,32.1
ROI ET,405201,1986,03,28,37.4,23.5,0,8.9,67,6.1,30.4
ROI ET,405201,1986,03,29,38.1,25.8,0,8.5,59,5.9,31.9
ROI ET,405201,1986,03,30,38.8,25.5,0,9.3,52,7.6,32.1
ROI ET,405201,1986,03,31,38.9,21.6,0,9,43,7,30.2
ROI ET,405201,1986,04,01,38,24.3,0,7.1,56,5.5,31.1
ROI ET,405201,1986,04,02,39,25.4,0,8.8,56,7.2,32.2
ROI ET,405201,1986,04,03,39.3,26.7,0,8.3,55,6.9,33
ROI ET,405201,1986,04,04,37.5,26.7,0,7.1,60,5.6,32.1
ROI ET,405201,1986,04,05,36.5,23.8,0,7.5,61,6.9,30.1
ROI ET,405201,1986,04,06,35.8,25.4,0,5.1,63,6.3,30.6
ROI ET,405201,1986,04,07,35,24.4,0,9,58,5,29.7
ROI ET,405201,1986,04,08,35.5,21.7,0,8.9,58,6.6,28.6
ROI ET,405201,1986,04,09,37.4,23,0,9.5,57,6.6,30.2
ROI ET,405201,1986,04,10,37.6,25.1,0,6.5,62,4.7,31.3
ROI ET,405201,1986,04,11,36,25.7,0,7.1,69,5.9,30.8
ROI ET,405201,1986,04,12,35.9,23.5,6.2,5.6,67,6.7,29.7
ROI ET,405201,1986,04,13,33.5,23.2,0.1,5.7,78,2.7,28.3
ROI ET,405201,1986,04,14,34.4,25.3,0,3.5,70,5.2,29.8
ROI ET,405201,1986,04,15,36.7,23.4,1.2,9.2,64,6.1,30
ROI ET,405201,1986,04,16,33.7,22.8,11.5,4.6,78,3.6,28.2
ROI ET,405201,1986,04,17,35.7,24,0,10.3,67,6,29.8
ROI ET,405201,1986,04,18,37.6,25.6,0,10.8,57,8.1,31.6
ROI ET,405201,1986,04,19,36.3,25.6,2,7.7,62,3.6,30.9
ROI ET,405201,1986,04,20,37.9,24.5,2,8.7,64,5.6,31.2
ROI ET,405201,1986,04,21,37.7,24.7,11,7.5,73,7.7,31.2
ROI ET,405201,1986,04,22,34.5,23.6,25.8,8.2,75,5.8,29
ROI ET,405201,1986,04,23,32.5,21.5,0,9.6,78,3.1,27
ROI ET,405201,1986,04,24,32.1,24.7,3,6.1,85,4.2,28.4
ROI ET,405201,1986,04,25,34,23.9,0,8.9,79,4.1,28.9
ROI ET,405201,1986,04,26,35.8,25,0,7.8,75,5.3,30.4
ROI ET,405201,1986,04,27,35.9,25.1,0,10.7,71,6.1,30.5
ROI ET,405201,1986,04,28,35.2,26,0,6.2,75,5.3,30.6
ROI ET,405201,1986,04,29,36.2,23.7,3.5,9.6,72,6.2,29.9
ROI ET,405201,1986,04,30,34.1,23.3,16.3,6.1,79,6.1,28.7
ROI ET,405201,1986,05,01,34.8,22.3,14,8.7,76,4.9,28.5
ROI ET,405201,1986,05,02,31.9,22.1,7.2,5.2,82,3.5,27
ROI ET,405201,1986,05,03,33.4,23.1,0,6.5,79,4.6,28.2
ROI ET,405201,1986,05,04,34.5,25,0,8.9,75,5.4,29.7
ROI ET,405201,1986,05,05,34.7,25,0,9.9,73,5.2,29.8
ROI ET,405201,1986,05,06,29.7,25.6,1.6,3.2,83,2.7,27.6
ROI ET,405201,1986,05,07,33.8,24.8,3.1,7.8,76,5.5,29.3
ROI ET,405201,1986,05,08,30.4,23.7,5.4,0.5,83,1.5,27
ROI ET,405201,1986,05,09,30.2,22.9,2.1,2.7,81,3.8,26.5
ROI ET,405201,1986,05,10,30.5,24.3,2,1.9,81,2.8,27.4
ROI ET,405201,1986,05,11,33.8,24.5,0,10.2,74,5.9,29.1
ROI ET,405201,1986,05,12,34.7,24.7,0,10.5,73,6.1,29.7
ROI ET,405201,1986,05,13,34.7,25.5,0,11.7,68,6,30.1
ROI ET,405201,1986,05,14,34.7,25.7,0,11.8,68,6.7,30.2
ROI ET,405201,1986,05,15,35.2,25.8,0,9.6,67,5.8,30.5
ROI ET,405201,1986,05,16,35.6,26.4,52.2,5.1,73,7.4,31
ROI ET,405201,1986,05,17,29.5,23.4,16.1,0.4,88,3.5,26.4
ROI ET,405201,1986,05,18,32.2,24,17.2,2.7,87,4.9,28.1
ROI ET,405201,1986,05,19,28.9,24,44.5,0,91,2.5,26.4
ROI ET,405201,1986,05,20,31.9,23.6,0.6,2.3,85,4.3,27.7
ROI ET,405201,1986,05,21,32.7,24.9,8.9,8.3,77,3.7,28.8
ROI ET,405201,1986,05,22,29.9,24.4,6.1,0.8,90,0.8,27.1
ROI ET,405201,1986,05,23,31.2,23.2,2.9,4.4,87,4.5,27.2
ROI ET,405201,1986,05,24,32.1,25.4,0.8,6.6,78,2.1,28.7
ROI ET,405201,1986,05,25,31.2,25.5,0,3.6,76,5.3,28.3
ROI ET,405201,1986,05,26,30.5,25.4,0,1.6,76,3.6,27.9
ROI ET,405201,1986,05,27,34.4,25.4,0,5.5,74,3.3,29.9
ROI ET,405201,1986,05,28,34,25,0,6.4,75,4.6,29.5
ROI ET,405201,1986,05,29,34.3,25.5,0,9.4,72,6,29.9
ROI ET,405201,1986,05,30,35.6,26.5,0,7.5,70,4.9,31
ROI ET,405201,1986,05,31,36.6,26,0,11.1,66,6.3,31.3
ROI ET,405201,1986,06,01,36.7,26.8,0,10.8,64,7.5,31.7
ROI ET,405201,1986,06,02,35.4,25.5,0.2,9.1,70,4.9,30.4
ROI ET,405201,1986,06,03,34.2,25,0,6.2,71,4.9,29.6
ROI ET,405201,1986,06,04,34.1,24.7,0,8.5,72,7.2,29.4
ROI ET,405201,1986,06,05,34,24.8,7.1,8.4,71,4.6,29.4
ROI ET,405201,1986,06,06,31.5,22.5,36.5,1.6,88,5.4,27
ROI ET,405201,1986,06,07,32.7,22.4,7.6,6,87,5.9,27.5
ROI ET,405201,1986,06,08,33.3,25.4,8.3,10.5,76,4.8,29.3
ROI ET,405201,1986,06,09,34.2,25.4,0,9.4,75,5.6,29.8
ROI ET,405201,1986,06,10,34.3,26,0,8.5,71,6.7,30.1
ROI ET,405201,1986,06,11,33.8,25.5,0.7,9.4,71,4.9,29.6
ROI ET,405201,1986,06,12,33.4,24.2,110.7,4.4,82,4.6,28.8
ROI ET,405201,1986,06,13,31.5,23.5,4.2,1.8,85,3.2,27.5
ROI ET,405201,1986,06,14,31.6,24.7,0,9.1,81,3.5,28.1
ROI ET,405201,1986,06,15,33.8,25.3,0,10.3,75,4,29.5
ROI ET,405201,1986,06,16,34.8,26.9,0,11,71,6,30.8
ROI ET,405201,1986,06,17,34.1,25,18.2,8,80,3.8,29.5
ROI ET,405201,1986,06,18,31.8,22.7,21.4,1.2,85,4.5,27.2
ROI ET,405201,1986,06,19,30.4,24.9,7.9,2.1,83,2.9,27.6
ROI ET,405201,1986,06,20,32.7,25.5,0,6.3,78,5,29.1
ROI ET,405201,1986,06,21,34,24.6,0,8.1,71,5.3,29.3
ROI ET,405201,1986,06,22,33.7,25.9,0,8.4,74,4.8,29.8
ROI ET,405201,1986,06,23,32.6,26.4,0,4.6,73,4.1,29.5
ROI ET,405201,1986,06,24,31.7,25.6,0,1.5,75,3.5,28.6
ROI ET,405201,1986,06,25,32.7,25.7,0,4.7,75,4.8,29.2
ROI ET,405201,1986,06,26,33.5,25.5,0.2,7.1,74,4.6,29.5
ROI ET,405201,1986,06,27,32.9,25.5,0,3.6,80,4.5,29.2
ROI ET,405201,1986,06,28,34.9,25.2,0,11.2,70,6,30
ROI ET,405201,1986,06,29,34.8,25.6,0,11.2,71,6.2,30.2
ROI ET,405201,1986,06,30,36.1,27.2,0,10.6,72,7.2,31.6
ROI ET,405201,1986,07,01,36.5,27.2,0,11.4,67,7.1,31.8
ROI ET,405201,1986,07,02,36.1,27,0,11.6,65,4.9,31.5
ROI ET,405201,1986,07,03,35.6,26.7,0,11.3,64,6.5,31.1
ROI ET,405201,1986,07,04,35.4,27,0,10.1,61,9.3,31.2
ROI ET,405201,1986,07,05,34.4,25.5,2.2,3,73,3.7,29.9
ROI ET,405201,1986,07,06,33.2,25.3,0,5.5,76,4.5,29.2
ROI ET,405201,1986,07,07,35.1,25.7,0,7.6,76,5.4,30.4
ROI ET,405201,1986,07,08,34.6,26.4,4.6,5.9,73,5,30.5
ROI ET,405201,1986,07,09,31.8,24.2,16.4,0,81,4.3,28
ROI ET,405201,1986,07,10,32.6,24.2,0.2,4.5,75,4.6,28.4
ROI ET,405201,1986,07,11,32.8,25.4,0.2,5.9,75,5.6,29.1
ROI ET,405201,1986,07,12,32.9,24.9,0,5.9,71,5.1,28.9
ROI ET,405201,1986,07,13,33.9,25.3,0,7,67,5.8,29.6
ROI ET,405201,1986,07,14,33.4,24.4,16.3,7.3,73,5.6,28.9
ROI ET,405201,1986,07,15,32,24.3,0,6.9,79,4.5,28.1
ROI ET,405201,1986,07,16,32.6,24.7,0,6.6,75,4.7,28.6
ROI ET,405201,1986,07,17,34.1,25.3,0,9.3,73,4.8,29.7
ROI ET,405201,1986,07,18,33,25.4,3.6,8.1,72,5.3,29.2
ROI ET,405201,1986,07,19,30.3,23.2,72.2,0.2,83,6.6,26.7
ROI ET,405201,1986,07,20,30.8,23.1,12.7,3.7,88,4.5,26.9
ROI ET,405201,1986,07,21,27,23.4,7.3,0,89,1.2,25.2
ROI ET,405201,1986,07,22,25.7,23.2,9.8,0,91,1,24.4
ROI ET,405201,1986,07,23,27.8,23.3,3,0,88,0.1,25.5
ROI ET,405201,1986,07,24,30,24,0,3.7,79,4.3,27
ROI ET,405201,1986,07,25,31.4,23.9,10.2,6.6,82,5.1,27.6
ROI ET,405201,1986,07,26,31,23.5,12.1,5.4,83,3.1,27.2
ROI ET,405201,1986,07,27,32.1,23.5,0,10.1,79,5.4,27.8
ROI ET,405201,1986,07,28,32.4,24.1,10.3,7.3,81,5,28.2
ROI ET,405201,1986,07,29,32.6,22.6,0.2,10.4,77,3.5,27.6
ROI ET,405201,1986,07,30,32.4,24.4,0,7.3,77,3.9,28.4
ROI ET,405201,1986,07,31,33.2,25.6,0,6.6,76,3.5,29.4
ROI ET,405201,1986,08,01,34.8,26,0,10.1,72,5.9,30.4
ROI ET,405201,1986,08,02,31.6,26.6,7.5,11.1,75,3.1,29.1
ROI ET,405201,1986,08,03,33.1,24.7,0,9.2,77,6,28.9
ROI ET,405201,1986,08,04,33.6,26.6,0.7,7.9,76,4.5,30.1
ROI ET,405201,1986,08,05,31.4,24.5,0,7.9,82,2.9,27.9
ROI ET,405201,1986,08,06,31.3,25.2,0,4.6,78,5,28.2
ROI ET,405201,1986,08,07,31.9,24.5,14.5,7,79,2.4,28.2
ROI ET,405201,1986,08,08,29.9,23.3,25.4,3.5,87,5,26.6
ROI ET,405201,1986,08,09,30.4,22.8,0.6,4.8,85,3.3,26.6
ROI ET,405201,1986,08,10,31.1,25.5,4,3.8,82,2.1,28.3
ROI ET,405201,1986,08,11,29,24.5,7.1,0,87,4.3,26.7
ROI ET,405201,1986,08,12,32.3,25.4,0,8.2,73,5.1,28.8
ROI ET,405201,1986,08,13,31.9,26,0,6.9,74,4.4,28.9
ROI ET,405201,1986,08,14,33.4,25.7,109.3,5.8,71,-9999,29.5
ROI ET,405201,1986,08,15,31.4,22.4,16.1,5.1,86,5.3,26.9
ROI ET,405201,1986,08,16,31.1,24.5,0,6.3,82,3.9,27.8
ROI ET,405201,1986,08,17,31,25.6,0,2.3,80,2.5,28.3
ROI ET,405201,1986,08,18,32.7,25.8,0,11.1,75,3.3,29.2
ROI ET,405201,1986,08,19,33.7,26.1,0,11.4,72,5.8,29.9
ROI ET,405201,1986,08,20,33.5,27.2,1,5,77,5.6,30.3
ROI ET,405201,1986,08,21,34.3,26.2,0.2,9,78,4.5,30.2
ROI ET,405201,1986,08,22,33.4,26.5,26.6,7.7,74,8.1,29.9
ROI ET,405201,1986,08,23,31.2,23.6,16.8,2.2,89,1.3,27.4
ROI ET,405201,1986,08,24,31.3,24.9,16.1,1.9,87,7.5,28.1
ROI ET,405201,1986,08,25,29.5,24.5,43.5,0.5,87,2.4,27
ROI ET,405201,1986,08,26,28.7,23.5,11.9,5.3,85,3.7,26.1
ROI ET,405201,1986,08,27,30.2,24.3,0.2,3.3,85,4.2,27.2
ROI ET,405201,1986,08,28,32.2,25.6,16,10.1,75,5,28.9
ROI ET,405201,1986,08,29,31,24.7,0,4.4,79,3.1,27.8
ROI ET,405201,1986,08,30,33.2,22.7,74.7,7.9,76,-9999,27.9
ROI ET,405201,1986,08,31,32.5,22.6,6.4,10.2,80,4.2,27.5
ROI ET,405201,1986,09,01,32.4,24.7,0,8,79,5,28.5
ROI ET,405201,1986,09,02,32.6,26.3,11,7.9,77,5.7,29.4
ROI ET,405201,1986,09,03,31.4,24.3,4.6,2.9,81,2.9,27.8
ROI ET,405201,1986,09,04,31.9,23.9,2.5,6.1,80,3.5,27.9
ROI ET,405201,1986,09,05,29.9,25.1,0,0,83,3.5,27.5
ROI ET,405201,1986,09,06,30,24.9,3.4,0.2,81,2.8,27.4
ROI ET,405201,1986,09,07,30.3,24.3,11.3,5.8,85,3.9,27.3
ROI ET,405201,1986,09,08,30.9,24.2,35.3,5.8,85,5.4,27.5
ROI ET,405201,1986,09,09,30,24,8.1,3.2,85,1.7,27
ROI ET,405201,1986,09,10,29.8,22.9,56.9,3,89,5.8,26.3
ROI ET,405201,1986,09,11,29.8,22.8,1.6,4.7,85,3.4,26.3
ROI ET,405201,1986,09,12,32.2,25,0,9.2,81,3.6,28.6
ROI ET,405201,1986,09,13,32,25.6,0,8,80,3,28.8
ROI ET,405201,1986,09,14,33.3,25.2,0,10,79,4,29.2
ROI ET,405201,1986,09,15,33.7,26.1,0,8.3,77,3.3,29.9
ROI ET,405201,1986,09,16,33.4,25.8,2.5,10.6,79,4.4,29.6
ROI ET,405201,1986,09,17,33.7,26,0,10.6,76,6.8,29.8
ROI ET,405201,1986,09,18,32,25.1,12.7,5.7,79,3.7,28.5
ROI ET,405201,1986,09,19,31.8,23.3,3.3,7.6,79,4.5,27.5
ROI ET,405201,1986,09,20,31.3,25.2,0,9.7,73,6.2,28.2
ROI ET,405201,1986,09,21,31.5,22.7,0,10.5,69,4,27.1
ROI ET,405201,1986,09,22,31.3,21.8,0,10.3,70,5.2,26.5
ROI ET,405201,1986,09,23,32,22.9,0,9.9,71,4.4,27.4
ROI ET,405201,1986,09,24,31.7,22.5,0.3,8.8,69,4.5,27.1
ROI ET,405201,1986,09,25,32,24.1,0,9.6,67,5.2,28
ROI ET,405201,1986,09,26,32,22.7,0,10.5,71,6.5,27.3
ROI ET,405201,1986,09,27,31.9,24,11.1,8.2,80,2.9,27.9
ROI ET,405201,1986,09,28,31.8,24,2.7,10.7,77,5,27.9
ROI ET,405201,1986,09,29,30.9,24.5,0,8,80,5.8,27.7
ROI ET,405201,1986,09,30,30.4,24,0,4.5,80,1.9,27.2
ROI ET,405201,1986,10,01,30,23.8,3.8,4.1,74,4.3,26.9
ROI ET,405201,1986,10,02,29.7,21,0.8,4.3,77,3.2,25.3
ROI ET,405201,1986,10,03,31.2,23,0,7.7,73,5.2,27.1
ROI ET,405201,1986,10,04,31.6,23.7,0,7.2,71,3.2,27.6
ROI ET,405201,1986,10,05,31.7,22.8,0,8.2,67,6.2,27.2
ROI ET,405201,1986,10,06,32.5,22.7,0,9.9,67,3.9,27.6
ROI ET,405201,1986,10,07,31.7,22.6,0,9.1,75,4.1,27.1
ROI ET,405201,1986,10,08,32.2,22.8,0,9.6,75,5,27.5
ROI ET,405201,1986,10,09,31.7,23.2,0,8.8,75,3,27.4
ROI ET,405201,1986,10,10,32,22.7,0,7.4,73,4.8,27.3
ROI ET,405201,1986,10,11,30.4,22.5,0,7.3,75,3.4,26.4
ROI ET,405201,1986,10,12,25.2,23.2,2.3,0,85,1.3,24.2
ROI ET,405201,1986,10,13,27.3,23,0,1,86,1.8,25.1
ROI ET,405201,1986,10,14,29.9,22.5,0,4,82,3.1,26.2
ROI ET,405201,1986,10,15,31.6,23.4,0,9.2,79,3.1,27.5
ROI ET,405201,1986,10,16,32.7,24,10.9,9.2,80,5.3,28.3
ROI ET,405201,1986,10,17,33.4,24.1,0,8.2,80,5.1,28.7
ROI ET,405201,1986,10,18,32.3,24,0,8.9,81,2.1,28.1
ROI ET,405201,1986,10,19,32.7,23.4,0,10.9,72,3.8,28
ROI ET,405201,1986,10,20,32.9,23,0,10.7,74,5,27.9
ROI ET,405201,1986,10,21,32.5,23.1,0,10.1,72,4.7,27.8
ROI ET,405201,1986,10,22,27.4,23.6,37.9,0.2,87,4.1,25.5
ROI ET,405201,1986,10,23,27.1,22.4,1.3,0.9,92,1.1,24.7
ROI ET,405201,1986,10,24,32.3,23,2.2,9.5,84,3.8,27.6
ROI ET,405201,1986,10,25,31.9,23.7,0.1,9.1,81,2.4,27.8
ROI ET,405201,1986,10,26,32.4,24.1,0,10.4,81,4.8,28.2
ROI ET,405201,1986,10,27,32.7,24.5,0.1,7.9,83,3.2,28.6
ROI ET,405201,1986,10,28,33.2,25.4,4.5,6.9,85,2.5,29.3
ROI ET,405201,1986,10,29,29.8,23,0,9.8,79,4.6,26.4
ROI ET,405201,1986,10,30,27.9,20.6,0,5.9,70,3.1,24.2
ROI ET,405201,1986,10,31,30,19.4,0,11.2,72,4.8,24.7
ROI ET,405201,1986,11,01,30.4,20.2,0,11,73,4.4,25.3
ROI ET,405201,1986,11,02,30.2,19.5,0,10.9,75,3.5,24.8
ROI ET,405201,1986,11,03,31.4,19.6,0,10.9,74,5.3,25.5
ROI ET,405201,1986,11,04,30.7,20.1,0,11.1,71,3.9,25.4
ROI ET,405201,1986,11,05,30.4,18.9,0,11.1,72,3.2,24.6
ROI ET,405201,1986,11,06,31,19.7,0,10.5,74,4.2,25.3
ROI ET,405201,1986,11,07,31.3,21.2,0,10.7,76,4.5,26.2
ROI ET,405201,1986,11,08,31.8,21.4,0,10.6,70,5.8,26.6
ROI ET,405201,1986,11,09,29,20.3,0,7.8,70,3.3,24.6
ROI ET,405201,1986,11,10,29.3,18,0,10.9,66,4.3,23.6
ROI ET,405201,1986,11,11,29,19,0,5.8,67,3,24
ROI ET,405201,1986,11,12,30.2,20.8,0,2.8,72,2.7,25.5
ROI ET,405201,1986,11,13,25.5,22.4,2.6,1.3,90,1,23.9
ROI ET,405201,1986,11,14,30.3,22.9,0.2,2.9,85,2.5,26.6
ROI ET,405201,1986,11,15,31.7,22.9,0.1,7.6,80,3.5,27.3
ROI ET,405201,1986,11,16,30.2,22.4,0,7.2,75,3.9,26.3
ROI ET,405201,1986,11,17,30,19.4,0,10.8,70,3.8,24.7
ROI ET,405201,1986,11,18,29.8,18.7,0,10.6,67,4.7,24.2
ROI ET,405201,1986,11,19,29.9,18.4,0,10.2,71,5.5,24.1
ROI ET,405201,1986,11,20,29.5,18,0,10.9,68,3.1,23.7
ROI ET,405201,1986,11,21,29.2,17.3,0,9.3,70,4.1,23.2
ROI ET,405201,1986,11,22,29.3,17.9,0,10.2,70,4.9,23.6
ROI ET,405201,1986,11,23,28.5,17.5,0,10.7,69,3,23
ROI ET,405201,1986,11,24,28.3,16.4,0,9.2,66,3.6,22.3
ROI ET,405201,1986,11,25,27.4,18.5,0,1.7,68,4,22.9
ROI ET,405201,1986,11,26,28.3,18.6,0,7.2,66,3.2,23.4
ROI ET,405201,1986,11,27,29.4,18.4,0,7.2,68,3.6,23.9
ROI ET,405201,1986,11,28,29,19,0,8.9,69,4.9,24
ROI ET,405201,1986,11,29,26.2,18.7,0,2.8,70,2.7,22.4
ROI ET,405201,1986,11,30,26.4,15.9,0,10,66,3.2,21.1
ROI ET,405201,1986,12,01,27.4,14.7,0,10.5,69,4.3,21
ROI ET,405201,1986,12,02,29.6,16.6,0,9,68,3.1,23.1
ROI ET,405201,1986,12,03,25.3,20.4,2.2,0.2,77,2.9,22.8
ROI ET,405201,1986,12,04,22.4,18.3,0.7,0,77,1.1,20.3
ROI ET,405201,1986,12,05,26.1,17.3,0,1.5,74,1.9,21.7
ROI ET,405201,1986,12,06,31.2,18.8,0,10.2,74,3.4,25
ROI ET,405201,1986,12,07,30.5,20.4,0,5.4,73,5.1,25.4
ROI ET,405201,1986,12,08,27.2,19.7,0,1.9,72,1.4,23.4
ROI ET,405201,1986,12,09,28.8,17.9,0,8.6,69,4.1,23.3
ROI ET,405201,1986,12,10,27.4,18.6,0,9,67,6.2,23
ROI ET,405201,1986,12,11,27.5,15.2,0,10.4,70,1.6,21.3
ROI ET,405201,1986,12,12,28.2,14.4,0,10.3,72,4.5,21.3
ROI ET,405201,1986,12,13,30.3,14.5,0,10.4,71,4.3,22.4
ROI ET,405201,1986,12,14,30.6,16.2,0,10.5,73,2.2,23.4
ROI ET,405201,1986,12,15,30.7,16.7,0,10.3,72,3.2,23.7
ROI ET,405201,1986,12,16,31.7,15.8,0,10.7,70,5.2,23.7
ROI ET,405201,1986,12,17,32,16.5,0,10.8,66,2.5,24.2
ROI ET,405201,1986,12,18,32.3,18.5,0,10.8,65,3.9,25.4
ROI ET,405201,1986,12,19,30.6,19.5,0,10.9,68,6,25
ROI ET,405201,1986,12,20,29.2,15.6,0,10.8,70,3.2,22.4
